qber,p_depol,log_neg,E_R_corrected,SP_BB84_per_signal,SP_6state_per_signal,ratio_ER_BB,ratio_ER_6st
0.08150,0.10867,0.8773516264,0.5925573943,0.0925573943,0.0901481034,6.4021,6.5732
0.08200,0.10933,0.8765660588,0.5908125950,0.0908125950,0.0890421271,6.5058,6.6352
0.08250,0.11000,0.8757800631,0.5890725871,0.0890725871,0.0879386585,6.6134,6.6987
0.08300,0.11067,0.8749936389,0.5873373441,0.0873373441,0.0868376845,6.7249,6.7636
0.08350,0.11133,0.8742067859,0.5856068399,0.0856068399,0.0857391923,6.8407,6.8301
0.08400,0.11200,0.8734195034,0.5838810487,0.0838810487,0.0846431690,6.9608,6.8981
0.08450,0.11267,0.8726317911,0.5821599451,0.0821599451,0.0835496021,7.0857,6.9678
0.08500,0.11333,0.8718436485,0.5804435038,0.0804435038,0.0824584791,7.2155,7.0392
0.08550,0.11400,0.8710550751,0.5787316999,0.0787316999,0.0813697878,7.3507,7.1124
0.08600,0.11467,0.8702660704,0.5770245088,0.0770245088,0.0802835160,7.4914,7.1873
0.08650,0.11533,0.8694766340,0.5753219062,0.0753219062,0.0791996518,7.6382,7.2642
0.08700,0.11600,0.8686867653,0.5736238681,0.0736238681,0.0781181832,7.7913,7.3430
0.08750,0.11667,0.8678964640,0.5719303708,0.0719303708,0.0770390985,7.9512,7.4239
0.08800,0.11733,0.8671057295,0.5702413907,0.0702413907,0.0759623863,8.1183,7.5069
0.08850,0.11800,0.8663145614,0.5685569047,0.0685569047,0.0748880349,8.2932,7.5921
0.08900,0.11867,0.8655229591,0.5668768898,0.0668768898,0.0738160332,8.4764,7.6796
0.08950,0.11933,0.8647309223,0.5652013234,0.0652013234,0.0727463700,8.6686,7.7695
0.09000,0.12000,0.8639384504,0.5635301829,0.0635301829,0.0716790341,8.8703,7.8619
0.09050,0.12067,0.8631455430,0.5618634464,0.0618634464,0.0706140147,9.0823,7.9568
0.09100,0.12133,0.8623521995,0.5602010917,0.0602010917,0.0695513010,9.3055,8.0545
0.09150,0.12200,0.8615584196,0.5585430973,0.0585430973,0.0684908823,9.5407,8.1550
0.09200,0.12267,0.8607642026,0.5568894418,0.0568894418,0.0674327481,9.7890,8.2584
0.09250,0.12333,0.8599695482,0.5552401038,0.0552401038,0.0663768878,10.0514,8.3650
0.09300,0.12400,0.8591744559,0.5535950624,0.0535950624,0.0653232912,10.3292,8.4747
0.09350,0.12467,0.8583789251,0.5519542970,0.0519542970,0.0642719481,10.6238,8.5878
0.09400,0.12533,0.8575829554,0.5503177869,0.0503177869,0.0632228484,10.9368,8.7044
0.09450,0.12600,0.8567865463,0.5486855119,0.0486855119,0.0621759821,11.2700,8.8247
0.09500,0.12667,0.8559896973,0.5470574518,0.0470574518,0.0611313393,11.6253,8.9489
0.09550,0.12733,0.8551924080,0.5454335869,0.0454335869,0.0600889102,12.0051,9.0771
0.09600,0.12800,0.8543946778,0.5438138974,0.0438138974,0.0590486853,12.4119,9.2096
0.09650,0.12867,0.8535965062,0.5421983640,0.0421983640,0.0580106548,12.8488,9.3465
0.09700,0.12933,0.8527978928,0.5405869673,0.0405869673,0.0569748095,13.3192,9.4882
0.09750,0.13000,0.8519988371,0.5389796883,0.0389796883,0.0559411398,13.8272,9.6348
0.09800,0.13067,0.8511993386,0.5373765082,0.0373765082,0.0549096366,14.3774,9.7866
0.09850,0.13133,0.8503993968,0.5357774084,0.0357774084,0.0538802907,14.9753,9.9438
0.09900,0.13200,0.8495990112,0.5341823703,0.0341823703,0.0528530931,15.6274,10.1069
0.09950,0.13267,0.8487981812,0.5325913756,0.0325913756,0.0518280347,16.3415,10.2761
0.10000,0.13333,0.8479969066,0.5310044064,0.0310044064,0.0508051067,17.1267,10.4518
0.10050,0.13400,0.8471951866,0.5294214447,0.0294214447,0.0497843004,17.9944,10.6343
0.10100,0.13467,0.8463930209,0.5278424728,0.0278424728,0.0487656069,18.9582,10.8241
0.10150,0.13533,0.8455904088,0.5262674731,0.0262674731,0.0477490178,20.0349,11.0215
0.10200,0.13600,0.8447873501,0.5246964282,0.0246964282,0.0467345245,21.2458,11.2272
0.10250,0.13667,0.8439838440,0.5231293211,0.0231293211,0.0457221186,22.6176,11.4415
0.10300,0.13733,0.8431798903,0.5215661345,0.0215661345,0.0447117918,24.1845,11.6651
0.10350,0.13800,0.8423754882,0.5200068518,0.0200068518,0.0437035357,25.9914,11.8985
0.10400,0.13867,0.8415706374,0.5184514562,0.0184514562,0.0426973422,28.0981,12.1425
0.10450,0.13933,0.8407653373,0.5168999311,0.0168999311,0.0416932033,30.5859,12.3977
0.10500,0.14000,0.8399595875,0.5153522603,0.0153522603,0.0406911108,33.5685,12.6650
0.10550,0.14067,0.8391533874,0.5138084274,0.0138084274,0.0396910570,37.2098,12.9452
0.10600,0.14133,0.8383467365,0.5122684165,0.0122684165,0.0386930338,41.7551,13.2393
0.10650,0.14200,0.8375396344,0.5107322116,0.0107322116,0.0376970336,47.5887,13.5483
0.10700,0.14267,0.8367320805,0.5091997969,0.0091997969,0.0367030486,55.3490,13.8735
0.10750,0.14333,0.8359240743,0.5076711570,0.0076711570,0.0357110713,66.1792,14.2161
0.10800,0.14400,0.8351156153,0.5061462763,0.0061462763,0.0347210940,82.3501,14.5775
0.10850,0.14467,0.8343067030,0.5046251395,0.0046251395,0.0337331094,109.1048,14.9593
0.10900,0.14533,0.8334973369,0.5031077315,0.0031077315,0.0327471099,161.8891,15.3634
0.10950,0.14600,0.8326875164,0.5015940372,0.0015940372,0.0317630882,314.6690,15.7917
0.11000,0.14667,0.8318772412,0.5000840418,0.0000840418,0.0307810372,5950.4179,16.2465
0.11050,0.14733,0.8310665106,0.4985777305,-0.0014222695,0.0298009495,inf,16.7303
0.11100,0.14800,0.8302553242,0.4970750888,-0.0029249112,0.0288228181,inf,17.2459
0.11150,0.14867,0.8294436814,0.4955761020,-0.0044238980,0.0278466359,inf,17.7966
0.11200,0.14933,0.8286315817,0.4940807559,-0.0059192441,0.0268723959,inf,18.3862
0.11250,0.15000,0.8278190246,0.4925890363,-0.0074109637,0.0259000912,inf,19.0188
0.11300,0.15067,0.8270060096,0.4911009291,-0.0088990709,0.0249297149,inf,19.6994
0.11350,0.15133,0.8261925362,0.4896164204,-0.0103835796,0.0239612603,inf,20.4337
0.11400,0.15200,0.8253786039,0.4881354962,-0.0118645038,0.0229947205,inf,21.2282
0.11450,0.15267,0.8245642121,0.4866581429,-0.0133418571,0.0220300889,inf,22.0906
0.11500,0.15333,0.8237493603,0.4851843470,-0.0148156530,0.0210673589,inf,23.0301
0.11550,0.15400,0.8229340480,0.4837140949,-0.0162859051,0.0201065240,inf,24.0576
0.11600,0.15467,0.8221182747,0.4822473733,-0.0177526267,0.0191475776,inf,25.1858
0.11650,0.15533,0.8213020399,0.4807841689,-0.0192158311,0.0181905134,inf,26.4305
0.11700,0.15600,0.8204853430,0.4793244687,-0.0206755313,0.0172353249,inf,27.8106
0.11750,0.15667,0.8196681835,0.4778682597,-0.0221317403,0.0162820058,inf,29.3495
0.11800,0.15733,0.8188505609,0.4764155289,-0.0235844711,0.0153305499,inf,31.0762
0.11850,0.15800,0.8180324747,0.4749662637,-0.0250337363,0.0143809510,inf,33.0275
0.11900,0.15867,0.8172139243,0.4735204512,-0.0264795488,0.0134332028,inf,35.2500
0.11950,0.15933,0.8163949092,0.4720780791,-0.0279219209,0.0124872994,inf,37.8047
0.12000,0.16000,0.8155754289,0.4706391347,-0.0293608653,0.0115432347,inf,40.7719
0.12050,0.16067,0.8147554828,0.4692036058,-0.0307963942,0.0106010027,inf,44.2603
0.12100,0.16133,0.8139350705,0.4677714802,-0.0322285198,0.0096605974,inf,48.4206
0.12150,0.16200,0.8131141913,0.4663427457,-0.0336572543,0.0087220131,inf,53.4673
0.12200,0.16267,0.8122928449,0.4649173903,-0.0350826097,0.0077852437,inf,59.7178
0.12250,0.16333,0.8114710305,0.4634954019,-0.0365045981,0.0068502837,inf,67.6608
0.12300,0.16400,0.8106487478,0.4620767689,-0.0379232311,0.0059171272,inf,78.0914
0.12350,0.16467,0.8098259961,0.4606614795,-0.0393385205,0.0049857685,inf,92.3953
0.12400,0.16533,0.8090027749,0.4592495220,-0.0407504780,0.0040562021,inf,113.2216
0.12450,0.16600,0.8081790838,0.4578408849,-0.0421591151,0.0031284223,inf,146.3488
0.12500,0.16667,0.8073549221,0.4564355568,-0.0435644432,0.0022024237,inf,207.2424
0.12550,0.16733,0.8065302893,0.4550335263,-0.0449664737,0.0012782006,inf,355.9954
0.12600,0.16800,0.8057051848,0.4536347820,-0.0463652180,0.0003557478,inf,1275.1584
0.12650,0.16867,0.8048796083,0.4522393130,-0.0477606870,-0.0005649402,inf,inf
0.12700,0.16933,0.8040535590,0.4508471080,-0.0491528920,-0.0014838688,inf,inf
0.12750,0.17000,0.8032270364,0.4494581562,-0.0505418438,-0.0024010433,inf,inf
0.12800,0.17067,0.8024000401,0.4480724465,-0.0519275535,-0.0033164689,inf,inf
0.12850,0.17133,0.8015725695,0.4466899683,-0.0533100317,-0.0042301508,inf,inf
0.12900,0.17200,0.8007446239,0.4453107107,-0.0546892893,-0.0051420942,inf,inf
0.12950,0.17267,0.7999162030,0.4439346631,-0.0560653369,-0.0060523042,inf,inf
0.13000,0.17333,0.7990873061,0.4425618150,-0.0574381850,-0.0069607860,inf,inf
0.13050,0.17400,0.7982579326,0.4411921558,-0.0588078442,-0.0078675445,inf,inf
0.13100,0.17467,0.7974280822,0.4398256753,-0.0601743247,-0.0087725847,inf,inf
0.13150,0.17533,0.7965977540,0.4384623630,-0.0615376370,-0.0096759117,inf,inf
0.13200,0.17600,0.7957669478,0.4371022089,-0.0628977911,-0.0105775303,inf,inf
0.13250,0.17667,0.7949356628,0.4357452026,-0.0642547974,-0.0114774455,inf,inf
0.13300,0.17733,0.7941038986,0.4343913341,-0.0656086659,-0.0123756620,inf,inf
0.13350,0.17800,0.7932716545,0.4330405935,-0.0669594065,-0.0132721847,inf,inf
0.13400,0.17867,0.7924389301,0.4316929708,-0.0683070292,-0.0141670182,inf,inf
