qber,p_depol,log_neg_bits,bb84_SP_bits,sixstate_SP_bits,gap_bb84,gap_sixstate
0.06700,0.08933,0.8999489862,0.2907456656,0.5391803453,0.6092033206,0.3607686409
0.06750,0.09000,0.8991756305,0.2869517780,0.5364909202,0.6122238525,0.3626847103
0.06800,0.09067,0.8984018600,0.2831693507,0.5338072253,0.6152325093,0.3645946347
0.06850,0.09133,0.8976276743,0.2793983055,0.5311292215,0.6182293687,0.3664984528
0.06900,0.09200,0.8968530729,0.2756385655,0.5284568702,0.6212145074,0.3683962027
0.06950,0.09267,0.8960780554,0.2718900546,0.5257901335,0.6241880008,0.3702879219
0.07000,0.09333,0.8953026213,0.2681526982,0.5231289740,0.6271499231,0.3721736473
0.07050,0.09400,0.8945267703,0.2644264225,0.5204733549,0.6301003478,0.3740534153
0.07100,0.09467,0.8937505017,0.2607111547,0.5178232398,0.6330393470,0.3759272619
0.07150,0.09533,0.8929738153,0.2570068234,0.5151785929,0.6359669919,0.3777952224
0.07200,0.09600,0.8921967105,0.2533133578,0.5125393789,0.6388833526,0.3796573316
0.07250,0.09667,0.8914191868,0.2496306884,0.5099055629,0.6417884985,0.3815136240
0.07300,0.09733,0.8906412440,0.2459587463,0.5072771106,0.6446824976,0.3833641333
0.07350,0.09800,0.8898628814,0.2422974640,0.5046539882,0.6475654173,0.3852088932
0.07400,0.09867,0.8890840986,0.2386467746,0.5020361622,0.6504373240,0.3870479364
0.07450,0.09933,0.8883048952,0.2350066122,0.4994235998,0.6532982830,0.3888812954
0.07500,0.10000,0.8875252707,0.2313769117,0.4968162683,0.6561483590,0.3907090024
0.07550,0.10067,0.8867452247,0.2277576092,0.4942141358,0.6589876155,0.3925310889
0.07600,0.10133,0.8859647568,0.2241486413,0.4916171706,0.6618161155,0.3943475862
0.07650,0.10200,0.8851838663,0.2205499455,0.4890253414,0.6646339208,0.3961585249
0.07700,0.10267,0.8844025530,0.2169614602,0.4864386176,0.6674410927,0.3979639354
0.07750,0.10333,0.8836208163,0.2133831247,0.4838569686,0.6702376915,0.3997638477
0.07800,0.10400,0.8828386558,0.2098148790,0.4812803644,0.6730237768,0.4015582913
0.07850,0.10467,0.8820560710,0.2062566637,0.4787087755,0.6757994073,0.4033472954
0.07900,0.10533,0.8812730614,0.2027084204,0.4761421726,0.6785646410,0.4051308888
0.07950,0.10600,0.8804896267,0.1991700914,0.4735805269,0.6813195353,0.4069090998
0.08000,0.10667,0.8797057663,0.1956416196,0.4710238097,0.6840641467,0.4086819565
