noise_param,AD_log_neg_bits,dephase_log_neg_bits,depol_log_neg_bits
0.1660,0.8749936389,0.7381192888,0.8081790838
0.1670,0.8742067859,0.7363884007,0.8069426646
0.1680,0.8734195034,0.7346554335,0.8057051848
0.1690,0.8726317911,0.7329203821,0.8044666427
0.1700,0.8718436485,0.7311832416,0.8032270364
0.1710,0.8710550751,0.7294440068,0.8019863641
0.1720,0.8702660704,0.7277026728,0.8007446239
0.1730,0.8694766340,0.7259592345,0.7995018141
0.1740,0.8686867653,0.7242136868,0.7982579326
0.1750,0.8678964640,0.7224660245,0.7970129778
0.1760,0.8671057295,0.7207162425,0.7957669478
0.1770,0.8663145614,0.7189643358,0.7945198406
0.1780,0.8655229591,0.7172102990,0.7932716545
0.1790,0.8647309223,0.7154541271,0.7920223875
0.1800,0.8639384504,0.7136958148,0.7907720379
0.1810,0.8631455430,0.7119353570,0.7895206036
0.1820,0.8623521995,0.7101727483,0.7882680829
0.1830,0.8615584196,0.7084079835,0.7870144738
0.1840,0.8607642026,0.7066410573,0.7857597744
0.1850,0.8599695482,0.7048719645,0.7845039829
0.1860,0.8591744559,0.7031006996,0.7832470974
0.1870,0.8583789251,0.7013272574,0.7819891159
0.1880,0.8575829554,0.6995516325,0.7807300365
0.1890,0.8567865463,0.6977738196,0.7794698573
0.1900,0.8559896973,0.6959938131,0.7782085764
0.1910,0.8551924080,0.6942116078,0.7769461919
0.1920,0.8543946778,0.6924271981,0.7756827017
0.1930,0.8535965062,0.6906405786,0.7744181041
0.1940,0.8527978928,0.6888517439,0.7731523970
0.1950,0.8519988371,0.6870606883,0.7718855785
0.1960,0.8511993386,0.6852674065,0.7706176467
0.1970,0.8503993968,0.6834718929,0.7693485995
0.1980,0.8495990112,0.6816741418,0.7680784350
0.1990,0.8487981812,0.6798741477,0.7668071513
0.2000,0.8479969066,0.6780719051,0.7655347464
0.2010,0.8471951866,0.6762674083,0.7642612182
0.2020,0.8463930209,0.6744606516,0.7629865649
0.2030,0.8455904088,0.6726516293,0.7617107844
0.2040,0.8447873501,0.6708403359,0.7604338747
0.2050,0.8439838440,0.6690267655,0.7591558338
0.2060,0.8431798903,0.6672109125,0.7578766597
0.2070,0.8423754882,0.6653927710,0.7565963505
0.2080,0.8415706374,0.6635723354,0.7553149040
0.2090,0.8407653373,0.6617495998,0.7540323184
0.2100,0.8399595875,0.6599245584,0.7527485914
0.2110,0.8391533874,0.6580972054,0.7514637212
0.2120,0.8383467365,0.6562675348,0.7501777056
0.2130,0.8375396344,0.6544355408,0.7488905426
0.2140,0.8367320805,0.6526012176,0.7476022303
0.2150,0.8359240743,0.6507645591,0.7463127664
0.2160,0.8351156153,0.6489255595,0.7450221490
0.2170,0.8343067030,0.6470842126,0.7437303760
0.2180,0.8334973369,0.6452405126,0.7424374454
0.2190,0.8326875164,0.6433944535,0.7411433550
