noise_param,AD_1arm,AD_composed,DP_1arm,DP_composed,DE_1arm,DE_composed,ER_1arm,ER_composed
0.0370,0.9730601728,0.9466328059,0.9456077032,0.8933435702,0.9593992348,0.9191901793,0.9730601728,0.9466328059
0.0380,0.9723250416,0.9451911641,0.9441087991,0.8904669272,0.9582859009,0.9169856063,0.9723250416,0.9451911641
0.0390,0.9715895355,0.9437495803,0.9426083361,0.8875907754,0.9571717072,0.9147799550,0.9715895355,0.9437495803
0.0400,0.9708536543,0.9423080562,0.9411063109,0.8847151291,0.9560566524,0.9125732257,0.9708536543,0.9423080562
0.0410,0.9701173976,0.9408665933,0.9396027204,0.8818400028,0.9549407351,0.9103654186,0.9701173976,0.9408665933
0.0420,0.9693807649,0.9394251933,0.9380975611,0.8789654111,0.9538239539,0.9081565339,0.9693807649,0.9394251933
0.0430,0.9686437560,0.9379838578,0.9365908298,0.8760913686,0.9527063076,0.9059465719,0.9686437560,0.9379838578
0.0440,0.9679063703,0.9365425884,0.9350825233,0.8732178900,0.9515877948,0.9037355328,0.9679063703,0.9365425884
0.0450,0.9671686075,0.9351013869,0.9335726383,0.8703449903,0.9504684142,0.9015234168,0.9671686075,0.9351013869
0.0460,0.9664304673,0.9336602548,0.9320611713,0.8674726842,0.9493481643,0.8993102242,0.9664304673,0.9336602548
0.0470,0.9656919492,0.9322191937,0.9305481192,0.8646009868,0.9482270439,0.8970959552,0.9656919492,0.9322191937
0.0480,0.9649530529,0.9307782055,0.9290334786,0.8617299130,0.9471050516,0.8948806101,0.9649530529,0.9307782055
0.0490,0.9642137779,0.9293372916,0.9275172462,0.8588594781,0.9459821860,0.8926641892,0.9642137779,0.9293372916
0.0500,0.9634741240,0.9278964537,0.9259994186,0.8559896973,0.9448584458,0.8904466927,0.9634741240,0.9278964537
0.0510,0.9627340906,0.9264556936,0.9244799924,0.8531205859,0.9437338296,0.8882281209,0.9627340906,0.9264556936
0.0520,0.9619936774,0.9250150129,0.9229589642,0.8502521591,0.9426083361,0.8860084741,0.9619936774,0.9250150129
0.0530,0.9612528841,0.9235744133,0.9214363308,0.8473844327,0.9414819639,0.8837877526,0.9612528841,0.9235744133
0.0540,0.9605117101,0.9221338964,0.9199120887,0.8445174220,0.9403547115,0.8815659567,0.9605117101,0.9221338964
0.0550,0.9597701552,0.9206934639,0.9183862344,0.8416511427,0.9392265777,0.8793430868,0.9597701552,0.9206934639
0.0560,0.9590282189,0.9192531176,0.9168587647,0.8387856105,0.9380975611,0.8771191430,0.9590282189,0.9192531176
0.0570,0.9582859009,0.9178128592,0.9153296760,0.8359208413,0.9369676602,0.8748941257,0.9582859009,0.9178128592
0.0580,0.9575432008,0.9163726902,0.9137989650,0.8330568509,0.9358368737,0.8726680353,0.9575432008,0.9163726902
0.0590,0.9568001181,0.9149326125,0.9122666281,0.8301936553,0.9347052002,0.8704408721,0.9568001181,0.9149326125
0.0600,0.9560566524,0.9134926278,0.9107326619,0.8273312706,0.9335726383,0.8682126365,0.9560566524,0.9134926278
0.0610,0.9553128034,0.9120527377,0.9091970630,0.8244697129,0.9324391866,0.8659833287,0.9553128034,0.9120527377
0.0620,0.9545685708,0.9106129439,0.9076598279,0.8216089984,0.9313048437,0.8637529491,0.9545685708,0.9106129439
0.0630,0.9538239539,0.9091732483,0.9061209530,0.8187491434,0.9301696082,0.8615214982,0.9538239539,0.9091732483
0.0640,0.9530789526,0.9077336526,0.9045804349,0.8158901644,0.9290334786,0.8592889762,0.9530789526,0.9077336526
0.0650,0.9523335664,0.9062941584,0.9030382701,0.8130320777,0.9278964537,0.8570553835,0.9523335664,0.9062941584
0.0660,0.9515877948,0.9048547675,0.9014944550,0.8101749001,0.9267585320,0.8548207206,0.9515877948,0.9048547675
0.0670,0.9508416375,0.9034154817,0.8999489862,0.8073186481,0.9256197120,0.8525849877,0.9508416375,0.9034154817
0.0680,0.9500950942,0.9019763027,0.8984018600,0.8044633385,0.9244799924,0.8503481854,0.9500950942,0.9019763027
0.0690,0.9493481643,0.9005372322,0.8968530729,0.8016089882,0.9233393716,0.8481103140,0.9493481643,0.9005372322
0.0700,0.9486008475,0.8990982721,0.8953026213,0.7987556139,0.9221978484,0.8458713738,0.9486008475,0.8990982721
0.0710,0.9478531434,0.8976594241,0.8937505017,0.7959032328,0.9210554212,0.8436313655,0.9478531434,0.8976594241
0.0720,0.9471050516,0.8962206899,0.8921967105,0.7930518619,0.9199120887,0.8413902892,0.9471050516,0.8962206899
0.0730,0.9463565716,0.8947820713,0.8906412440,0.7902015185,0.9187678493,0.8391481456,0.9463565716,0.8947820713
0.0740,0.9456077032,0.8933435702,0.8890840986,0.7873522197,0.9176227017,0.8369049350,0.9456077032,0.8933435702
0.0750,0.9448584458,0.8919051882,0.8875252707,0.7845039829,0.9164766444,0.8346606579,0.9448584458,0.8919051882
0.0760,0.9441087991,0.8904669272,0.8859647568,0.7816568256,0.9153296760,0.8324153147,0.9441087991,0.8904669272
0.0770,0.9433587627,0.8890287890,0.8844025530,0.7788107654,0.9141817950,0.8301689059,0.9433587627,0.8890287890
0.0780,0.9426083361,0.8875907754,0.8828386558,0.7759658197,0.9130330000,0.8279214320,0.9426083361,0.8875907754
0.0790,0.9418575190,0.8861528882,0.8812730614,0.7731220064,0.9118832894,0.8256728934,0.9418575190,0.8861528882
0.0800,0.9411063109,0.8847151291,0.8797057663,0.7702793432,0.9107326619,0.8234232907,0.9411063109,0.8847151291
0.0810,0.9403547115,0.8832775000,0.8781367666,0.7674378480,0.9095811160,0.8211726243,0.9403547115,0.8832775000
0.0820,0.9396027204,0.8818400028,0.8765660588,0.7645975389,0.9084286502,0.8189208947,0.9396027204,0.8818400028
0.0830,0.9388503370,0.8804026392,0.8749936389,0.7617584338,0.9072752630,0.8166681024,0.9388503370,0.8804026392
0.0840,0.9380975611,0.8789654111,0.8734195034,0.7589205509,0.9061209530,0.8144142480,0.9380975611,0.8789654111
