loss_dB_total,p_d,rate
7.346938775510204,2.1544346900318822e-06,0.00034630505131144905
7.346938775510204,3.162277660168379e-06,0.00034553460513223505
7.346938775510204,4.641588833612773e-06,0.00034440532833605663
7.346938775510204,6.8129206905796085e-06,0.00034275116276105325
7.346938775510204,1e-05,0.00034033039545238326
7.346938775510204,1.4677992676220675e-05,0.0003367924962111178
7.346938775510204,2.1544346900318823e-05,0.0003316317911281382
7.346938775510204,3.1622776601683795e-05,0.00032412409842112787
7.346938775510204,4.641588833612772e-05,0.0003132425247807576
7.346938775510204,6.812920690579608e-05,0.00029782195130431455
7.346938775510204,0.0001,0.00027734651354769074
8.571428571428571,1e-08,0.0002621406425876617
8.571428571428571,1.4677992676220705e-08,0.0002621374990228333
8.571428571428571,2.1544346900318822e-08,0.00026213288493560645
8.571428571428571,3.162277660168379e-08,0.0002621261124569867
8.571428571428571,4.641588833612782e-08,0.00026211617197989474
8.571428571428571,6.812920690579608e-08,0.0002621015817040405
8.571428571428571,1e-07,0.0002620801668599225
8.571428571428571,1.4677992676220674e-07,0.0002620487357874545
8.571428571428571,2.1544346900318822e-07,0.00026200260477160254
8.571428571428571,3.162277660168379e-07,0.0002619349012147204
8.571428571428571,4.6415888336127725e-07,0.0002618355421630801
8.571428571428571,6.812920690579608e-07,0.000261689737847023
8.571428571428571,1e-06,0.0002614758013148071
8.571428571428571,1.4677992676220675e-06,0.0002611619465695119
8.571428571428571,2.1544346900318822e-06,0.00026070161700986265
8.571428571428571,3.162277660168379e-06,0.00026002668848118765
8.571428571428571,4.641588833612773e-06,0.0002590376198845875
8.571428571428571,6.8129206905796085e-06,0.0002575892639929252
8.571428571428571,1e-05,0.00025547059842107484
8.571428571428571,1.4677992676220675e-05,0.0002523761195922995
8.571428571428571,2.1544346900318823e-05,0.00024786615413212516
8.571428571428571,3.1622776601683795e-05,0.0002413130833504378
8.571428571428571,4.641588833612772e-05,0.00023183077636944978
8.571428571428571,6.812920690579608e-05,0.0002191054777642086
8.571428571428571,0.0001,0.00020137893685684188
9.795918367346939,1e-08,0.0001975190645464936
9.795918367346939,1.4677992676220705e-08,0.00019751631273398228
9.795918367346939,2.1544346900318822e-08,0.0001975122736607355
9.795918367346939,3.162277660168379e-08,0.0001975063451876786
9.795918367346939,4.641588833612782e-08,0.00019749764354234033
9.795918367346939,6.812920690579608e-08,0.00019748487162498356
9.795918367346939,1e-07,0.0001974661257707729
9.795918367346939,1.4677992676220674e-07,0.00019743861224967053
9.795918367346939,2.1544346900318822e-07,0.00019739823143409633
9.795918367346939,3.162277660168379e-07,0.00019733896806226642
9.795918367346939,4.6415888336127725e-07,0.00019725199760412963
9.795918367346939,6.812920690579608e-07,0.00019712437745870466
9.795918367346939,1e-06,0.0001969371320592192
9.795918367346939,1.4677992676220675e-06,0.00019666245539707905
9.795918367346939,2.1544346900318822e-06,0.00019625963309876656
9.795918367346939,3.162277660168379e-06,0.00019566911688279962
9.795918367346939,4.641588833612773e-06,0.00019480395406344425
9.795918367346939,6.8129206905796085e-06,0.00019353747429437529
9.795918367346939,1e-05,0.00019168576873833924
9.795918367346939,1.4677992676220675e-05,0.00018898309904358327
9.795918367346939,2.1544346900318823e-05,0.00018504804176603081
9.795918367346939,3.1622776601683795e-05,0.00017933809683235105
9.795918367346939,4.641588833612772e-05,0.00017130590848299517
9.795918367346939,6.812920690579608e-05,0.00016053416672146087
9.795918367346939,0.0001,0.00014522311378133314
11.020408163265307,1e-08,0.00014884488903476359
11.020408163265307,1.4677992676220705e-08,0.00014884248262880378
11.020408163265307,2.1544346900318822e-08,0.00014883895054322853
11.020408163265307,3.162277660168379e-08,0.00014883376622671285
11.020408163265307,4.641588833612782e-08,0.0001488261568546803
11.020408163265307,6.812920690579608e-08,0.0001488149881771659
11.020408163265307,1e-07,0.00014879859556126278
11.020408163265307,1.4677992676220674e-07,0.00014877453613028056
11.020408163265307,2.1544346900318822e-07,0.00014873922524411768
11.020408163265307,3.162277660168379e-07,0.00014868740355019803
11.020408163265307,4.6415888336127725e-07,0.0001486113560642126
11.020408163265307,6.812920690579608e-07,0.00014849976882207313
11.020408163265307,1e-06,0.00014833605686108512
11.020408163265307,1.4677992676220675e-06,0.00014809592327246537
11.020408163265307,2.1544346900318822e-06,0.00014774380463026542
11.020408163265307,3.162277660168379e-06,0.0001472277135975566
11.020408163265307,4.641588833612773e-06,0.0001464717955224331
11.020408163265307,6.8129206905796085e-06,0.0001453656676624791
11.020408163265307,1e-05,0.0001437493169314759
11.020408163265307,1.4677992676220675e-05,0.00014139203586206197
11.020408163265307,2.1544346900318823e-05,0.00013796367353146425
11.020408163265307,3.1622776601683795e-05,0.00013299653909765212
11.020408163265307,4.641588833612772e-05,0.00012635681396815223
11.020408163265307,6.812920690579608e-05,0.00011704223206428169
11.020408163265307,0.0001,0.00010384747921913108
12.244897959183675,1e-08,0.00011217735245995793
12.244897959183675,1.4677992676220705e-08,0.00011217524998750378
12.244897959183675,2.1544346900318822e-08,0.00011217216401547126
12.244897959183675,3.162277660168379e-08,0.00011216763450444249
12.244897959183675,4.641588833612782e-08,0.00011216098625618713
12.244897959183675,6.812920690579608e-08,0.0001121512283170919
12.244897959183675,1e-07,0.00011213690638552855
12.244897959183675,1.4677992676220674e-07,0.00011211588631102073
12.244897959183675,2.1544346900318822e-07,0.00011208503660606227
12.244897959183675,3.162277660168379e-07,0.00011203976306446393
12.244897959183675,4.6415888336127725e-07,0.00011197332702249123
12.244897959183675,6.812920690579608e-07,0.00011187584759708282
12.244897959183675,1e-06,0.00011173284337422749
12.244897959183675,1.4677992676220675e-06,0.00011152310516144228
12.244897959183675,2.1544346900318822e-06,0.00011121560186819462
12.244897959183675,3.162277660168379e-06,0.00011076499884159822
