loss_dB_total,M,rate
19.591836734693878,4.0,0.0003264025570210178
19.591836734693878,8.0,0.0001632012785105089
19.591836734693878,16.0,8.160063925525445e-05
19.591836734693878,32.0,4.0800319627627224e-05
19.591836734693878,64.0,2.0400159813813612e-05
20.816326530612244,4.0,0.00028318953603504756
20.816326530612244,8.0,0.00014159476801752378
20.816326530612244,16.0,7.079738400876189e-05
20.816326530612244,32.0,3.5398692004380944e-05
20.816326530612244,64.0,1.7699346002190472e-05
22.040816326530614,4.0,0.0002457206816013237
22.040816326530614,8.0,0.00012286034080066186
22.040816326530614,16.0,6.143017040033093e-05
22.040816326530614,32.0,3.0715085200165465e-05
22.040816326530614,64.0,1.5357542600082733e-05
23.26530612244898,4.0,0.0002132253996917007
23.26530612244898,8.0,0.00010661269984585035
23.26530612244898,16.0,5.330634992292518e-05
23.26530612244898,32.0,2.665317496146259e-05
23.26530612244898,64.0,1.3326587480731294e-05
24.48979591836735,4.0,0.00018503819207615254
24.48979591836735,8.0,9.251909603807627e-05
24.48979591836735,16.0,4.6259548019038134e-05
24.48979591836735,32.0,2.3129774009519067e-05
24.48979591836735,64.0,1.1564887004759533e-05
25.714285714285715,4.0,0.00016058390674779016
25.714285714285715,8.0,8.029195337389508e-05
25.714285714285715,16.0,4.014597668694754e-05
25.714285714285715,32.0,2.007298834347377e-05
25.714285714285715,64.0,1.0036494171736885e-05
26.93877551020408,4.0,0.00013936515782928666
26.93877551020408,8.0,6.968257891464333e-05
26.93877551020408,16.0,3.4841289457321665e-05
26.93877551020408,32.0,1.7420644728660832e-05
26.93877551020408,64.0,8.710322364330416e-06
28.16326530612245,4.0,0.00012095157267919099
28.16326530612245,8.0,6.0475786339595495e-05
28.16326530612245,16.0,3.0237893169797747e-05
28.16326530612245,32.0,1.5118946584898874e-05
28.16326530612245,64.0,7.559473292449437e-06
29.387755102040817,4.0,0.00010497058310240567
29.387755102040817,8.0,5.2485291551202834e-05
29.387755102040817,16.0,2.6242645775601417e-05
29.387755102040817,32.0,1.3121322887800708e-05
29.387755102040817,64.0,6.560661443900354e-06
30.612244897959183,4.0,9.109952542989682e-05
30.612244897959183,8.0,4.554976271494841e-05
30.612244897959183,16.0,2.2774881357474205e-05
30.612244897959183,32.0,1.1387440678737102e-05
30.612244897959183,64.0,5.693720339368551e-06
31.836734693877553,4.0,7.905885314783682e-05
31.836734693877553,8.0,3.952942657391841e-05
31.836734693877553,16.0,1.9764713286959204e-05
31.836734693877553,32.0,9.882356643479602e-06
31.836734693877553,64.0,4.941178321739801e-06
33.06122448979592,4.0,6.860629756834509e-05
33.06122448979592,8.0,3.430314878417254e-05
33.06122448979592,16.0,1.715157439208627e-05
33.06122448979592,32.0,8.575787196043136e-06
33.06122448979592,64.0,4.287893598021568e-06
34.285714285714285,4.0,5.953183817231444e-05
34.285714285714285,8.0,2.976591908615722e-05
34.285714285714285,16.0,1.488295954307861e-05
34.285714285714285,32.0,7.441479771539305e-06
34.285714285714285,64.0,3.7207398857696526e-06
35.51020408163265,4.0,5.165336583844936e-05
35.51020408163265,8.0,2.582668291922468e-05
35.51020408163265,16.0,1.291334145961234e-05
35.51020408163265,32.0,6.45667072980617e-06
35.51020408163265,64.0,3.228335364903085e-06
36.734693877551024,4.0,4.481294007839077e-05
36.734693877551024,8.0,2.2406470039195383e-05
36.734693877551024,16.0,1.1203235019597692e-05
36.734693877551024,32.0,5.601617509798846e-06
36.734693877551024,64.0,2.800808754899423e-06
37.95918367346939,4.0,3.887355631813084e-05
37.95918367346939,8.0,1.943677815906542e-05
37.95918367346939,16.0,9.71838907953271e-06
37.95918367346939,32.0,4.859194539766355e-06
37.95918367346939,64.0,2.4295972698831777e-06
39.183673469387756,4.0,3.3716351749800714e-05
39.183673469387756,8.0,1.6858175874900357e-05
39.183673469387756,16.0,8.429087937450179e-06
39.183673469387756,32.0,4.214543968725089e-06
39.183673469387756,64.0,2.1072719843625447e-06
40.40816326530612,4.0,2.9238188763972694e-05
40.40816326530612,8.0,1.4619094381986347e-05
40.40816326530612,16.0,7.309547190993174e-06
40.40816326530612,32.0,3.654773595496587e-06
40.40816326530612,64.0,1.8273867977482934e-06
41.63265306122449,4.0,2.5349563810805003e-05
41.63265306122449,8.0,1.2674781905402502e-05
41.63265306122449,16.0,6.337390952701251e-06
41.63265306122449,32.0,3.1686954763506254e-06
41.63265306122449,64.0,1.5843477381753127e-06
42.85714285714286,4.0,2.1972797012872742e-05
42.85714285714286,8.0,1.0986398506436371e-05
42.85714285714286,16.0,5.4931992532181854e-06
42.85714285714286,32.0,2.7465996266090927e-06
42.85714285714286,64.0,1.3732998133045464e-06
44.08163265306123,4.0,1.9040464191793684e-05
44.08163265306123,8.0,9.520232095896842e-06
44.08163265306123,16.0,4.760116047948421e-06
44.08163265306123,32.0,2.3800580239742105e-06
44.08163265306123,64.0,1.1900290119871052e-06
45.30612244897959,4.0,1.6494038361842272e-05
45.30612244897959,8.0,8.247019180921136e-06
45.30612244897959,16.0,4.123509590460568e-06
45.30612244897959,32.0,2.061754795230284e-06
45.30612244897959,64.0,1.030877397615142e-06
