loss_dB_total,p_d,rate
2.4489795918367347,1.4677992676220675e-08,0.0006128236076230339
2.4489795918367347,2.1544346900318822e-08,0.0006128167616634818
2.4489795918367347,3.162277660168379e-08,0.0006128067132407958
2.4489795918367347,4.641588833612773e-08,0.0006127919643278349
2.4489795918367347,6.812920690579608e-08,0.0006127703162170477
2.4489795918367347,1e-07,0.0006127385418528882
2.4489795918367347,1.4677992676220674e-07,0.0006126919050090185
2.4489795918367347,2.1544346900318822e-07,0.0006126234548107472
2.4489795918367347,3.162277660168379e-07,0.0006125229908255837
2.4489795918367347,4.6415888336127725e-07,0.000612375545293248
2.4489795918367347,6.812920690579608e-07,0.0006121591580742642
2.4489795918367347,1e-06,0.0006118416165889064
2.4489795918367347,1.4677992676220675e-06,0.0006113756832989694
2.4489795918367347,2.1544346900318822e-06,0.0006106921176062875
2.4489795918367347,3.162277660168379e-06,0.0006096894911204105
2.4489795918367347,4.641588833612773e-06,0.0006082193614829035
2.4489795918367347,6.8129206905796085e-06,0.0006060647711357555
2.4489795918367347,1e-05,0.000602909236060447
3.673469387755102,1e-09,0.0005289035767913486
3.673469387755102,1.4677992676220676e-09,0.000528903109891249
3.673469387755102,2.1544346900318866e-09,0.0005289024245759984
3.673469387755102,3.1622776601683795e-09,0.000528901418671597
3.673469387755102,4.641588833612773e-09,0.0005288999422076383
3.673469387755102,6.812920690579622e-09,0.0005288977750587631
3.673469387755102,1e-08,0.0005288945941275007
3.673469387755102,1.4677992676220675e-08,0.0005288899251767505
3.673469387755102,2.1544346900318822e-08,0.000528883072132645
3.673469387755102,3.162277660168379e-08,0.0005288730133222645
3.673469387755102,4.641588833612773e-08,0.0005288582491859707
3.673469387755102,6.812920690579608e-08,0.0005288365787814697
3.673469387755102,1e-07,0.0005288047718046568
3.673469387755102,1.4677992676220674e-07,0.0005287580873289564
3.673469387755102,2.1544346900318822e-07,0.000528689567727112
3.673469387755102,3.162277660168379e-07,0.000528589002970356
3.673469387755102,4.6415888336127725e-07,0.0005284414118909432
3.673469387755102,6.812920690579608e-07,0.0005282248161273255
3.673469387755102,1e-06,0.0005279069794832664
3.673469387755102,1.4677992676220675e-06,0.0005274406364676991
3.673469387755102,2.1544346900318822e-06,0.0005267565198134643
3.673469387755102,3.162277660168379e-06,0.0005257531926132513
3.673469387755102,4.641588833612773e-06,0.0005242822650272734
3.673469387755102,6.8129206905796085e-06,0.0005221269936782969
3.673469387755102,1e-05,0.0005189714951428712
4.8979591836734695,1e-09,0.00045683959157729427
4.8979591836734695,1.4677992676220676e-09,0.0004568391242541207
4.8979591836734695,2.1544346900318866e-09,0.00045683843831793684
4.8979591836734695,3.1622776601683795e-09,0.00045683743150225865
4.8979591836734695,4.641588833612773e-09,0.00045683595370100185
4.8979591836734695,6.812920690579622e-09,0.00045683378458983193
4.8979591836734695,1e-08,0.0004568306007795801
4.8979591836734695,1.4677992676220675e-08,0.0004568259276057822
4.8979591836734695,2.1544346900318822e-08,0.0004568190683689744
4.8979591836734695,3.162277660168379e-08,0.00045680900048162724
4.8979591836734695,4.641588833612773e-08,0.00045679422304947316
4.8979591836734695,6.812920690579608e-08,0.00045677253318813696
4.8979591836734695,1e-07,0.00045674069777928885
4.8979591836734695,1.4677992676220674e-07,0.0004566939718439318
4.8979591836734695,2.1544346900318822e-07,0.00045662539197521227
4.8979591836734695,3.162277660168379e-07,0.00045652474002376875
4.8979591836734695,4.6415888336127725e-07,0.0004563770236825302
