dA,dC,dE,td_full,td_traced,margin,contraction_holds
2,2,2,1.1235561239,0.4605272558,6.6302886808e-01,True
2,2,2,1.0907888339,0.5702187258,5.2057010811e-01,True
2,2,2,1.2124796458,0.6653222619,5.4715738385e-01,True
2,2,2,1.1358924180,0.6287214335,5.0717098451e-01,True
2,2,2,1.2252241044,0.6951256504,5.3009845403e-01,True
2,2,2,1.0183138352,0.6986449538,3.1966888137e-01,True
2,2,2,0.9993097291,0.3938379644,6.0547176467e-01,True
2,2,2,1.1096338824,0.6972114835,4.1242239887e-01,True
2,3,2,1.1673682445,0.4836138645,6.8375438003e-01,True
2,3,2,1.1001892100,0.3436465286,7.5654268141e-01,True
2,3,2,1.0497577023,0.2294762589,8.2028144332e-01,True
2,3,2,1.1128071742,0.4017118870,7.1109528724e-01,True
2,3,2,1.1834117904,0.4777923616,7.0561942882e-01,True
2,3,2,1.1130732595,0.3547623933,7.5831086621e-01,True
2,3,2,1.0328862735,0.4351603232,5.9772595030e-01,True
2,3,2,1.1641706313,0.5232682312,6.4090240007e-01,True
2,3,2,1.2633774675,0.5212864906,7.4209097692e-01,True
2,3,2,1.1485670605,0.5088183345,6.3974872590e-01,True
2,3,2,1.1294879504,0.3801571536,7.4933079679e-01,True
2,3,2,1.0822363874,0.2925930405,7.8964334686e-01,True
2,3,2,1.1523146490,0.4552062379,6.9710841108e-01,True
2,3,2,1.0193688894,0.2238328196,7.9553606979e-01,True
2,3,2,1.1310615141,0.3775551510,7.5350636308e-01,True
2,3,2,1.0870476782,0.3430289091,7.4401876916e-01,True
2,3,2,1.2071959582,0.3642372792,8.4295867897e-01,True
2,3,2,1.1327008032,0.3891838376,7.4351696562e-01,True
2,3,2,1.1603970069,0.4199119829,7.4048502404e-01,True
2,3,2,1.2659436237,0.5501726322,7.1577099157e-01,True
2,3,2,1.2076194958,0.4525241225,7.5509537336e-01,True
2,3,2,1.3041352157,0.3719274115,9.3220780420e-01,True
2,3,2,1.1446256585,0.3063388108,8.3828684772e-01,True
2,3,2,0.9781728016,0.4081123765,5.7006042509e-01,True
2,3,2,1.1769822973,0.4445083019,7.3247399546e-01,True
2,3,2,1.1328330536,0.4627879613,6.7004509229e-01,True
2,3,2,1.1712487878,0.3960741145,7.7517467322e-01,True
2,3,2,1.0919218849,0.3548289989,7.3709288607e-01,True
2,3,2,1.1089768737,0.2805181297,8.2845874403e-01,True
2,3,2,1.1788007797,0.4033311892,7.7546959048e-01,True
2,3,2,1.1164978205,0.4082501436,7.0824767693e-01,True
2,3,2,1.2511969264,0.3424919204,9.0870500594e-01,True
2,3,2,1.2155815652,0.3942967231,8.2128484218e-01,True
2,3,2,1.0017494196,0.3188650980,6.8288432168e-01,True
2,3,2,1.2026508562,0.3159501484,8.8670070781e-01,True
2,3,2,1.1365058795,0.4868237195,6.4968215998e-01,True
2,3,2,1.0826357633,0.3803143144,7.0232144895e-01,True
2,3,2,1.1811629021,0.4679759375,7.1318696461e-01,True
2,3,2,1.1234569246,0.4335472883,6.8990963625e-01,True
2,3,2,1.1219407980,0.4869838420,6.3495695596e-01,True
2,3,2,1.1388400433,0.3115466625,8.2729338085e-01,True
2,3,2,1.1612805156,0.3622807401,7.9899977556e-01,True
2,3,2,1.2087356754,0.4122726270,7.9646304843e-01,True
2,3,2,1.1666371820,0.4035933038,7.6304387828e-01,True
2,3,2,1.1853281908,0.3640424468,8.2128574397e-01,True
2,3,2,1.1625055198,0.5150941902,6.4741132963e-01,True
2,3,2,1.0770504633,0.3637692259,7.1328123745e-01,True
2,3,2,1.1908949790,0.4277750376,7.6311994143e-01,True
2,3,2,1.0968973541,0.4069476537,6.8994970045e-01,True
2,3,2,1.1867094000,0.3433600345,8.4334936549e-01,True
3,2,3,1.1016939653,0.6019401600,4.9975380532e-01,True
3,2,3,1.0873868760,0.5874025152,4.9998436074e-01,True
3,2,3,1.1211181394,0.6448577025,4.7626043698e-01,True
3,2,3,1.1748640496,0.5809281056,5.9393594404e-01,True
3,2,3,1.1472280343,0.5998306645,5.4739736978e-01,True
3,2,3,1.1890999198,0.5150609284,6.7403899137e-01,True
3,2,3,1.2310759881,0.6248778854,6.0619810274e-01,True
3,2,3,1.0895465308,0.6233914583,4.6615507251e-01,True
3,2,3,1.1149981947,0.5136488951,6.0134929967e-01,True
3,2,3,1.1533006137,0.4700097353,6.8329087841e-01,True
3,2,3,1.0822987811,0.5444701834,5.3782859774e-01,True
3,2,3,1.1178545525,0.6076595274,5.1019502508e-01,True
3,2,3,1.2002985755,0.6314487166,5.6884985894e-01,True
3,2,3,1.1262919154,0.6026194173,5.2367249805e-01,True
3,2,3,1.0631577885,0.5356867373,5.2747105129e-01,True
3,2,3,1.1921351677,0.6170731987,5.7506196898e-01,True
3,2,3,1.2252817970,0.6124593957,6.1282240132e-01,True
3,2,3,1.1611592093,0.5911413464,5.7001786287e-01,True
3,2,3,1.1193601921,0.6245706524,4.9478953976e-01,True
3,2,3,1.2303276905,0.5720628402,6.5826485030e-01,True
3,2,3,1.1565936201,0.5851615451,5.7143207501e-01,True
3,2,3,1.0571142333,0.5144518913,5.4266234196e-01,True
3,2,3,1.1283381715,0.5233018537,6.0503631780e-01,True
3,2,3,1.1689863435,0.6063779099,5.6260843366e-01,True
3,2,3,1.1334393949,0.5537475658,5.7969182912e-01,True
3,2,3,1.1292348864,0.6408099564,4.8842492994e-01,True
3,2,3,1.1960161561,0.5759236081,6.2009254803e-01,True
3,2,3,1.0883514427,0.5867446788,5.0160676390e-01,True
3,2,3,1.1062318836,0.6030592658,5.0317261780e-01,True
3,2,3,1.1481860645,0.5180111208,6.3017494369e-01,True
3,2,3,1.1249289957,0.5305645911,5.9436440460e-01,True
3,2,3,1.1387557242,0.6101568183,5.2859890592e-01,True
3,2,3,1.1786203750,0.6055955419,5.7302483306e-01,True
