loss_dB_total,tf_rate,ub_candA_worst,gap_candA,ub_plob_end2end_direct,gap_plob_direct
37.000,1.086349e-05,2.052391e-02,2.051304e-02,2.878842e-04,2.770207e-04
38.000,9.672415e-06,1.827775e-02,1.826808e-02,2.286699e-04,2.189975e-04
39.000,8.611072e-06,1.627880e-02,1.627019e-02,1.816360e-04,1.730249e-04
40.000,7.665311e-06,1.449957e-02,1.449190e-02,1.442767e-04,1.366114e-04
41.000,6.822532e-06,1.291567e-02,1.290885e-02,1.146019e-04,1.077794e-04
42.000,6.071510e-06,1.150549e-02,1.149942e-02,9.103078e-05,8.495927e-05
43.000,5.402247e-06,1.024982e-02,1.024442e-02,7.230785e-05,6.690560e-05
44.000,4.805836e-06,9.131629e-03,9.126823e-03,5.743587e-05,5.263003e-05
45.000,4.274342e-06,8.135767e-03,8.131493e-03,4.562274e-05,4.134840e-05
46.000,3.800695e-06,7.248784e-03,7.244983e-03,3.623932e-05,3.243862e-05
47.000,3.378599e-06,6.458718e-03,6.455339e-03,2.878584e-05,2.540724e-05
48.000,3.002442e-06,5.754935e-03,5.751933e-03,2.286536e-05,1.986291e-05
49.000,2.667223e-06,5.127978e-03,5.125311e-03,1.816257e-05,1.549535e-05
50.000,2.368489e-06,4.569431e-03,4.567063e-03,1.442702e-05,1.205853e-05
51.000,2.102269e-06,4.071808e-03,4.069705e-03,1.145978e-05,9.357511e-06
52.000,1.865027e-06,3.628445e-03,3.626580e-03,9.102819e-06,7.237792e-06
53.000,1.653612e-06,3.233413e-03,3.231759e-03,7.230621e-06,5.577009e-06
54.000,1.465215e-06,2.881431e-03,2.879965e-03,5.743484e-06,4.278269e-06
55.000,1.297334e-06,2.567799e-03,2.566501e-03,4.562210e-06,3.264876e-06
56.000,1.147740e-06,2.288331e-03,2.287184e-03,3.623891e-06,2.476151e-06
57.000,1.014445e-06,2.039302e-03,2.038287e-03,2.878558e-06,1.864113e-06
58.000,8.956794e-07,1.817390e-03,1.816494e-03,2.286519e-06,1.390840e-06
59.000,7.898658e-07,1.619639e-03,1.618849e-03,1.816247e-06,1.026381e-06
60.000,6.955986e-07,1.443417e-03,1.442721e-03,1.442696e-06,7.470972e-07
61.000,6.116256e-07,1.286377e-03,1.285765e-03,1.145974e-06,5.343483e-07
62.000,5.368310e-07,1.146429e-03,1.145892e-03,9.102793e-07,3.734483e-07
63.000,4.702207e-07,1.021712e-03,1.021241e-03,7.230605e-07,2.528398e-07
64.000,4.109089e-07,9.105663e-04,9.101554e-04,5.743474e-07,1.634385e-07
65.000,3.581066e-07,8.115152e-04,8.111571e-04,4.562203e-07,9.811370e-08
66.000,3.111107e-07,7.232416e-04,7.229305e-04,3.623887e-07,5.127796e-08
67.000,2.692951e-07,6.445722e-04,6.443029e-04,2.878555e-07,1.856043e-08
68.000,2.321016e-07,5.744616e-04,5.742295e-04,2.286518e-07,-3.449827e-09
69.000,1.990332e-07,5.119784e-04,5.117793e-04,1.816246e-07,-1.740864e-08
70.000,1.696470e-07,4.562924e-04,4.561227e-04,1.442695e-07,-2.537749e-08
