eta_arm,log_neg_two_arm_bits,pirandola_bits,ratio
0.172742,0.45977100,0.27359053,1.68050772
0.173241,0.46099908,0.27446146,1.67964961
0.173740,0.46222664,0.27533291,1.67879182
0.174240,0.46345368,0.27620489,1.67793435
0.174739,0.46468020,0.27707740,1.67707720
0.175238,0.46590619,0.27795044,1.67622038
0.175737,0.46713167,0.27882400,1.67536388
0.176237,0.46835662,0.27969810,1.67450770
0.176736,0.46958105,0.28057272,1.67365184
0.177235,0.47080497,0.28144788,1.67279630
0.177734,0.47202836,0.28232356,1.67194109
0.178234,0.47325124,0.28319978,1.67108619
0.178733,0.47447360,0.28407653,1.67023161
0.179232,0.47569544,0.28495381,1.66937735
0.179731,0.47691677,0.28583163,1.66852341
0.180231,0.47813758,0.28670998,1.66766978
0.180730,0.47935787,0.28758887,1.66681648
0.181229,0.48057764,0.28846829,1.66596349
0.181728,0.48179690,0.28934825,1.66511082
0.182228,0.48301565,0.29022875,1.66425846
0.182727,0.48423388,0.29110978,1.66340642
0.183226,0.48545159,0.29199135,1.66255470
0.183725,0.48666880,0.29287346,1.66170329
0.184225,0.48788549,0.29375611,1.66085220
0.184724,0.48910166,0.29463930,1.66000142
0.185223,0.49031733,0.29552304,1.65915095
0.185722,0.49153248,0.29640731,1.65830080
0.186222,0.49274712,0.29729213,1.65745096
0.186721,0.49396125,0.29817749,1.65660144
0.187220,0.49517487,0.29906339,1.65575222
0.187719,0.49638798,0.29994983,1.65490332
0.188219,0.49760058,0.30083683,1.65405473
0.188718,0.49881267,0.30172436,1.65320645
0.189217,0.50002425,0.30261245,1.65235849
0.189716,0.50123532,0.30350108,1.65151083
0.190216,0.50244588,0.30439026,1.65066348
0.190715,0.50365594,0.30527999,1.64981644
0.191214,0.50486549,0.30617026,1.64896972
0.191713,0.50607453,0.30706109,1.64812330
0.192213,0.50728307,0.30795246,1.64727718
0.192712,0.50849110,0.30884439,1.64643138
0.193211,0.50969862,0.30973687,1.64558589
0.193710,0.51090564,0.31062990,1.64474070
0.194210,0.51211215,0.31152349,1.64389581
0.194709,0.51331816,0.31241762,1.64305124
0.195208,0.51452367,0.31331232,1.64220697
0.195707,0.51572867,0.31420757,1.64136300
0.196207,0.51693317,0.31510337,1.64051935
0.196706,0.51813717,0.31599973,1.63967599
0.197205,0.51934067,0.31689665,1.63883294
0.197704,0.52054366,0.31779412,1.63799020
0.198204,0.52174615,0.31869216,1.63714775
