loss_dB_total,e_delta,rate
9.795918367346939,0.05011872336272722,6.655183992953596e-05
11.020408163265307,0.001,0.00035113872409388655
11.020408163265307,0.001177154137232303,0.00034882571293689136
11.020408163265307,0.0013856918628031274,0.00034615978539796326
11.020408163265307,0.001631172909227838,0.0003430886288053455
11.020408163265307,0.001920141938638801,0.00033955249278006325
11.020408163265307,0.0022603030271419193,0.00033548320382710155
11.020408163265307,0.0026607250597988083,0.0003308030673086024
11.020408163265307,0.003132083512179837,0.00032542364899751516
11.020408163265307,0.0036869450645195733,0.0003192444296221003
11.020408163265307,0.00434010263644744,0.0003121513278613577
11.020408163265307,0.005108969774506924,0.00030401509045656106
11.020408163265307,0.006014044907055618,0.0002946895528890922
11.020408163265307,0.00707945784384138,0.00028400978100532606
11.020408163265307,0.008333613090239559,0.0002717901137974941
11.020408163265307,0.009809947127268775,0.00025809263718789844
11.020408163265307,0.011547819846894581,0.00024552300723416903
11.020408163265307,0.013593563908785255,0.00023117177821025122
11.020408163265307,0.016001719994958277,0.00021480725231433324
11.020408163265307,0.018836490894898,0.0001961733684450772
11.020408163265307,0.022173453187867787,0.00017498898489273402
11.020408163265307,0.026101572156825358,0.00015175381499336267
11.020408163265307,0.03072557365267447,0.0001322250316358732
11.020408163265307,0.036168736144081594,0.00011014157815854575
11.020408163265307,0.04257617739046918,8.523825722341366e-05
11.020408163265307,0.05011872336272722,5.768580477870874e-05
12.244897959183675,0.001,0.0003043571950223335
12.244897959183675,0.001177154137232303,0.0003023474572212903
12.244897959183675,0.0013856918628031274,0.0003000310456959158
12.244897959183675,0.001631172909227838,0.00029736250669004936
12.244897959183675,0.001920141938638801,0.0002942899248623239
12.244897959183675,0.0022603030271419193,0.00029075406738432105
12.244897959183675,0.0026607250597988083,0.00028668743026029705
12.244897959183675,0.003132083512179837,0.00028201318010382016
12.244897959183675,0.0036869450645195733,0.00027664398566158184
12.244897959183675,0.00434010263644744,0.0002704807351573489
12.244897959183675,0.005108969774506924,0.000263411138315504
12.244897959183675,0.006014044907055618,0.00025530821608242126
12.244897959183675,0.00707945784384138,0.0002460286870862644
12.244897959183675,0.008333613090239559,0.00023541126841476298
12.244897959183675,0.009809947127268775,0.00022369331261566454
12.244897959183675,0.011547819846894581,0.00021277466821873742
12.244897959183675,0.013593563908785255,0.00020030855312169892
12.244897959183675,0.016001719994958277,0.00018609374695359646
12.244897959183675,0.018836490894898,0.00016990787518693528
12.244897959183675,0.022173453187867787,0.00015150678706091477
12.244897959183675,0.026101572156825358,0.00013152938356091919
12.244897959183675,0.03072557365267447,0.00011456972245874771
12.244897959183675,0.036168736144081594,9.539155623415248e-05
12.244897959183675,0.04257617739046918,7.376459025988815e-05
12.244897959183675,0.05011872336272722,5.001177193857613e-05
13.46938775510204,0.001,0.0002638739306992396
13.46938775510204,0.001177154137232303,0.0002621278846881773
13.46938775510204,0.0013856918628031274,0.0002601153668329986
13.46938775510204,0.001631172909227838,0.00025779688515591967
13.46938775510204,0.001920141938638801,0.0002551273343180752
13.46938775510204,0.0022603030271419193,0.0002520552522097366
13.46938775510204,0.0026607250597988083,0.0002485219916426209
13.46938775510204,0.003132083512179837,0.0002444608012774697
13.46938775510204,0.0036869450645195733,0.00023979581083802425
13.46938775510204,0.00434010263644744,0.0002344409172127761
13.46938775510204,0.005108969774506924,0.00022829857046806766
13.46938775510204,0.006014044907055618,0.00022125846241034886
13.46938775510204,0.00707945784384138,0.00021319612556820652
13.46938775510204,0.008333613090239559,0.0002039714578833296
13.46938775510204,0.009809947127268775,0.0001939285662905894
13.46938775510204,0.011547819846894581,0.00018444433742027092
13.46938775510204,0.013593563908785255,0.00017361601221973168
13.46938775510204,0.016001719994958277,0.00016126883727980693
13.46938775510204,0.018836490894898,0.0001472096908216932
13.46938775510204,0.022173453187867787,0.0001312265431093571
13.46938775510204,0.026101572156825358,0.00011402850349541334
13.46938775510204,0.03072557365267447,9.929991921522467e-05
13.46938775510204,0.036168736144081594,8.264473047631356e-05
13.46938775510204,0.04257617739046918,6.386294817319234e-05
13.46938775510204,0.05011872336272722,4.336654837033003e-05
14.693877551020408,0.001,0.00022882433568766953
14.693877551020408,0.001177154137232303,0.00022730753247685013
14.693877551020408,0.0013856918628031274,0.00022555920325069244
14.693877551020408,0.001631172909227838,0.00022354503748991765
14.693877551020408,0.001920141938638801,0.0002212258483504321
14.693877551020408,0.0022603030271419193,0.00021855692696494145
14.693877551020408,0.0026607250597988083,0.00021548732302770421
14.693877551020408,0.003132083512179837,0.00021195904657332558
14.693877551020408,0.0036869450645195733,0.00020790618665905307
14.693877551020408,0.00434010263644744,0.00020325394400792454
14.693877551020408,0.005108969774506924,0.00019791757677542086
14.693877551020408,0.006014044907055618,0.00019180126174300383
14.693877551020408,0.00707945784384138,0.00018479687778843939
14.693877551020408,0.008333613090239559,0.00017678272492771806
14.693877551020408,0.009809947127268775,0.00016816144069780724
14.693877551020408,0.011547819846894581,0.00015992341086463509
14.693877551020408,0.013593563908785255,0.00015051794175482543
14.693877551020408,0.016001719994958277,0.0001397932645917068
14.693877551020408,0.018836490894898,0.00012758166067031526
14.693877551020408,0.022173453187867787,0.00011369899324404004
14.693877551020408,0.026101572156825358,9.887719972942024e-05
14.693877551020408,0.03072557365267447,8.608615774340939e-05
14.693877551020408,0.036168736144081594,7.162198361991457e-05
14.693877551020408,0.04257617739046918,5.5311002993170625e-05
14.693877551020408,0.05011872336272722,3.7609991546627694e-05
15.918367346938776,0.001,0.00019846656595443962
15.918367346938776,0.001177154137232303,0.00019714903161288275
15.918367346938776,0.0013856918628031274,0.00019563034488531242
15.918367346938776,0.001631172909227838,0.00019388069812202585
15.918367346938776,0.001920141938638801,0.00019186604773504826
15.918367346938776,0.0022603030271419193,0.00018954755337153076
15.918367346938776,0.0026607250597988083,0.00018688095307679384
15.918367346938776,0.003132083512179837,0.00018381587003182416
15.918367346938776,0.0036869450645195733,0.000180295047144585
