gamma,log_neg_analytic,Q_degradable_analytic_LB_on_K2way
0.2565,0.8019962937,0.4035368493
0.2575,0.8011702473,0.4017736459
0.2585,0.8003437276,0.4000119726
0.2595,0.7995167341,0.3982518187
0.2605,0.7986892663,0.3964931736
0.2615,0.7978613237,0.3947360267
0.2625,0.7970329056,0.3929803675
0.2635,0.7962040115,0.3912261856
0.2645,0.7953746410,0.3894734706
0.2655,0.7945447933,0.3877222124
0.2665,0.7937144681,0.3859724007
0.2675,0.7928836647,0.3842240254
0.2685,0.7920523826,0.3824770764
0.2695,0.7912206213,0.3807315438
0.2705,0.7903883801,0.3789874176
0.2715,0.7895556585,0.3772446879
0.2725,0.7887224561,0.3755033451
0.2735,0.7878887721,0.3737633794
0.2745,0.7870546061,0.3720247812
0.2754,0.7862199576,0.3702875408
0.2764,0.7853848258,0.3685516487
0.2774,0.7845492104,0.3668170955
0.2784,0.7837131107,0.3650838718
0.2794,0.7828765261,0.3633519683
0.2804,0.7820394562,0.3616213757
0.2814,0.7812019003,0.3598920847
0.2824,0.7803638579,0.3581640862
0.2834,0.7795253283,0.3564373712
0.2844,0.7786863112,0.3547119305
0.2854,0.7778468058,0.3529877553
0.2864,0.7770068116,0.3512648365
0.2874,0.7761663280,0.3495431654
0.2884,0.7753253545,0.3478227330
0.2894,0.7744838905,0.3461035307
0.2904,0.7736419354,0.3443855497
0.2914,0.7727994887,0.3426687814
0.2924,0.7719565498,0.3409532172
0.2934,0.7711131180,0.3392388486
0.2944,0.7702691929,0.3375256670
0.2954,0.7694247738,0.3358136640
0.2964,0.7685798602,0.3341028313
0.2974,0.7677344514,0.3323931604
0.2984,0.7668885470,0.3306846431
0.2994,0.7660421463,0.3289772711
0.3004,0.7651952488,0.3272710363
0.3014,0.7643478538,0.3255659305
0.3024,0.7634999607,0.3238619455
0.3034,0.7626515691,0.3221590734
0.3044,0.7618026783,0.3204573061
0.3054,0.7609532876,0.3187566357
0.3064,0.7601033966,0.3170570542
0.3074,0.7592530047,0.3153585538
0.3084,0.7584021111,0.3136611266
0.3094,0.7575507155,0.3119647648
0.3104,0.7566988171,0.3102694608
0.3114,0.7558464153,0.3085752068
0.3124,0.7549935096,0.3068819951
0.3134,0.7541400994,0.3051898181
0.3144,0.7532861841,0.3034986683
0.3154,0.7524317631,0.3018085381
0.3164,0.7515768357,0.3001194199
0.3174,0.7507214014,0.2984313065
0.3184,0.7498654596,0.2967441903
0.3194,0.7490090096,0.2950580639
0.3204,0.7481520509,0.2933729200
0.3214,0.7472945829,0.2916887514
0.3224,0.7464366050,0.2900055507
0.3234,0.7455781165,0.2883233107
0.3244,0.7447191168,0.2866420243
0.3253,0.7438596054,0.2849616842
0.3263,0.7429995816,0.2832822833
0.3273,0.7421390448,0.2816038147
