noise_param,dephase_log_neg,dephase_K_D_PLOB,dephase_gap_bits,depol_log_neg,depol_E_R,depol_gap_bits
0.0890,0.8655229591,0.5668768898,0.2986460693,0.9003355086,0.5405272190,0.3598082897
0.0900,0.8639384504,0.5635301829,0.3004082675,0.8991756305,0.5364909202,0.3626847103
0.0910,0.8623521995,0.5602010917,0.3021511078,0.8980148191,0.5324675144,0.3655473046
0.0920,0.8607642026,0.5568894418,0.3038747609,0.8968530729,0.5284568702,0.3683962027
0.0930,0.8591744559,0.5535950624,0.3055793934,0.8956903905,0.5244588589,0.3712315315
0.0940,0.8575829554,0.5503177869,0.3072651685,0.8945267703,0.5204733549,0.3740534153
0.0950,0.8559896973,0.5470574518,0.3089322455,0.8933622108,0.5165002351,0.3768619757
0.0960,0.8543946778,0.5438138974,0.3105807803,0.8921967105,0.5125393789,0.3796573316
0.0970,0.8527978928,0.5405869673,0.3122109255,0.8910302678,0.5085906684,0.3824395994
0.0980,0.8511993386,0.5373765082,0.3138228304,0.8898628814,0.5046539882,0.3852088932
0.0990,0.8495990112,0.5341823703,0.3154166409,0.8886945495,0.5007292251,0.3879653244
0.1000,0.8479969066,0.5310044064,0.3169925001,0.8875252707,0.4968162683,0.3907090024
0.1010,0.8463930209,0.5278424728,0.3185505481,0.8863550435,0.4929150092,0.3934400343
0.1020,0.8447873501,0.5246964282,0.3200909219,0.8851838663,0.4890253414,0.3961585249
0.1030,0.8431798903,0.5215661345,0.3216137557,0.8840117376,0.4851471606,0.3988645770
0.1040,0.8415706374,0.5184514562,0.3231191812,0.8828386558,0.4812803644,0.4015582913
0.1050,0.8399595875,0.5153522603,0.3246073272,0.8816646193,0.4774248526,0.4042397667
0.1060,0.8383467365,0.5122684165,0.3260783201,0.8804896267,0.4735805269,0.4069090998
0.1070,0.8367320805,0.5091997969,0.3275322835,0.8793136763,0.4697472906,0.4095663857
0.1080,0.8351156153,0.5061462763,0.3289693390,0.8781367666,0.4659250491,0.4122117175
0.1090,0.8334973369,0.5031077315,0.3303896053,0.8769588961,0.4621137096,0.4148451865
0.1100,0.8318772412,0.5000840418,0.3317931994,0.8757800631,0.4583131807,0.4174668823
0.1110,0.8302553242,0.4970750888,0.3331802354,0.8746002660,0.4545233731,0.4200768930
0.1120,0.8286315817,0.4940807559,0.3345508258,0.8734195034,0.4507441987,0.4226753047
0.1130,0.8270060096,0.4911009291,0.3359050805,0.8722377736,0.4469755713,0.4252622024
0.1140,0.8253786039,0.4881354962,0.3372431077,0.8710550751,0.4432174060,0.4278376690
0.1150,0.8237493603,0.4851843470,0.3385650133,0.8698714062,0.4394696197,0.4304017864
0.1160,0.8221182747,0.4822473733,0.3398709015,0.8686867653,0.4357321305,0.4329546348
0.1170,0.8204853430,0.4793244687,0.3411608742,0.8675011509,0.4320048581,0.4354962928
0.1180,0.8188505609,0.4764155289,0.3424350320,0.8663145614,0.4282877234,0.4380268380
0.1190,0.8172139243,0.4735204512,0.3436934730,0.8651269951,0.4245806487,0.4405463463
0.1200,0.8155754289,0.4706391347,0.3449362941,0.8639384504,0.4208835579,0.4430548926
0.1210,0.8139350705,0.4677714802,0.3461635903,0.8627489258,0.4171963757,0.4455525501
0.1220,0.8122928449,0.4649173903,0.3473754546,0.8615584196,0.4135190285,0.4480393911
0.1230,0.8106487478,0.4620767689,0.3485719788,0.8603669301,0.4098514437,0.4505154864
0.1240,0.8090027749,0.4592495220,0.3497532529,0.8591744559,0.4061935499,0.4529809060
0.1250,0.8073549221,0.4564355568,0.3509193653,0.8579809951,0.4025452768,0.4554357183
0.1260,0.8057051848,0.4536347820,0.3520704028,0.8567865463,0.3989065555,0.4578799908
0.1270,0.8040535590,0.4508471080,0.3532064509,0.8555911077,0.3952773180,0.4603137897
0.1280,0.8024000401,0.4480724465,0.3543275936,0.8543946778,0.3916574974,0.4627371804
0.1290,0.8007446239,0.4453107107,0.3554339133,0.8531972548,0.3880470278,0.4651502270
0.1300,0.7990873061,0.4425618150,0.3565254911,0.8519988371,0.3844458445,0.4675529926
0.1310,0.7974280822,0.4398256753,0.3576024069,0.8507994231,0.3808538837,0.4699455394
0.1320,0.7957669478,0.4371022089,0.3586647389,0.8495990112,0.3772710827,0.4723279285
0.1330,0.7941038986,0.4343913341,0.3597125644,0.8483975995,0.3736973795,0.4747002200
0.1340,0.7924389301,0.4316929708,0.3607459593,0.8471951866,0.3701327134,0.4770624732
0.1350,0.7907720379,0.4290070399,0.3617649979,0.8459917707,0.3665770243,0.4794147464
0.1360,0.7891032175,0.4263334636,0.3627697539,0.8447873501,0.3630302531,0.4817570969
0.1370,0.7874324645,0.4236721652,0.3637602993,0.8435819232,0.3594923418,0.4840895813
0.1380,0.7857597744,0.4210230693,0.3647367051,0.8423754882,0.3559632330,0.4864122552
0.1390,0.7840851427,0.4183861014,0.3656990413,0.8411680435,0.3524428702,0.4887251734
0.1400,0.7824085649,0.4157611884,0.3666473766,0.8399595875,0.3489311977,0.4910283898
0.1410,0.7807300365,0.4131482579,0.3675817786,0.8387501183,0.3454281607,0.4933219576
0.1420,0.7790495528,0.4105472389,0.3685023140,0.8375396344,0.3419337052,0.4956059292
0.1430,0.7773671095,0.4079580613,0.3694090482,0.8363281339,0.3384477779,0.4978803560
0.1440,0.7756827017,0.4053806559,0.3703020458,0.8351156153,0.3349703262,0.5001452890
0.1450,0.7739963251,0.4028149547,0.3711813704,0.8339020767,0.3315012984,0.5024007783
0.1460,0.7723079750,0.4002608907,0.3720470843,0.8326875164,0.3280406434,0.5046468730
0.1470,0.7706176467,0.3977183974,0.3728992492,0.8314719328,0.3245883109,0.5068836220
0.1480,0.7689253356,0.3951874099,0.3737379257,0.8302553242,0.3211442512,0.5091110730
