family,param,n,log_neg_bits,effective_param
erasure,0.20,6,0.3358765191,0.7378560000
erasure,0.20,7,0.2746674377,0.7902848000
erasure,0.20,8,0.2237588224,0.8322278400
erasure,0.20,9,0.1816976111,0.8657822720
erasure,0.20,10,0.1471427920,0.8926258176
erasure,0.20,11,0.1188903832,0.9141006541
erasure,0.20,12,0.0958832164,0.9312805233
erasure,0.20,13,0.0772096065,0.9450244186
erasure,0.20,14,0.0620947166,0.9560195349
erasure,0.20,15,0.0498877426,0.9648156279
erasure,0.20,16,0.0400472479,0.9718525023
erasure,0.20,17,0.0321262374,0.9774820019
erasure,0.20,18,0.0257579666,0.9819856015
erasure,0.20,19,0.0206430327,0.9855884812
erasure,0.20,20,0.0165379885,0.9884707850
erasure,0.30,1,0.7655347464,0.3000000000
erasure,0.30,2,0.5753123307,0.5100000000
erasure,0.30,3,0.4254593048,0.6570000000
erasure,0.30,4,0.3104564623,0.7599000000
erasure,0.30,5,0.2241267345,0.8319300000
erasure,0.30,6,0.1604671779,0.8823510000
erasure,0.30,7,0.1141728311,0.9176457000
erasure,0.30,8,0.0808595720,0.9423519900
erasure,0.30,9,0.0570739710,0.9596463930
erasure,0.30,10,0.0401875991,0.9717524751
erasure,0.30,11,0.0282484244,0.9802267326
erasure,0.30,12,0.0198318219,0.9861587128
erasure,0.30,13,0.0139108474,0.9903110990
erasure,0.30,14,0.0097516589,0.9932177693
erasure,0.30,15,0.0068330760,0.9952524385
erasure,0.30,16,0.0047865493,0.9966767069
erasure,0.30,17,0.0033522512,0.9976736949
erasure,0.30,18,0.0023473935,0.9983715864
erasure,0.30,19,0.0016435764,0.9988601105
erasure,0.30,20,0.0011507000,0.9992020773
erasure,0.50,1,0.5849625007,0.5000000000
erasure,0.50,2,0.3219280949,0.7500000000
erasure,0.50,3,0.1699250014,0.8750000000
erasure,0.50,4,0.0874628413,0.9375000000
erasure,0.50,5,0.0443941194,0.9687500000
erasure,0.50,6,0.0223678130,0.9843750000
erasure,0.50,7,0.0112272554,0.9921875000
erasure,0.50,8,0.0056245492,0.9960937500
erasure,0.50,9,0.0028150156,0.9980468750
erasure,0.50,10,0.0014081944,0.9990234375
erasure,0.50,11,0.0007042690,0.9995117188
erasure,0.50,12,0.0003521775,0.9997558594
erasure,0.50,13,0.0001760995,0.9998779297
erasure,0.50,14,0.0000880524,0.9999389648
erasure,0.50,15,0.0000440269,0.9999694824
erasure,0.50,16,0.0000220136,0.9999847412
erasure,0.50,17,0.0000110068,0.9999923706
erasure,0.50,18,0.0000055034,0.9999961853
erasure,0.50,19,0.0000027517,0.9999980927
erasure,0.50,20,0.0000013759,0.9999990463
